id_alimento;Grupo;Fuente;Alimento;Energia_kcal;Proteina_g;Grasa_total_g;Carbohidratos_g;Fibra_g;AGS_g;AGM_g;AGPI_g;Colesterol_mg;Calcio_mg;Fosforo_mg;Hierro_mg;Potasio_mg;Sodio_mg;Zinc_mg;VitaminaC_mg;VitaminaA_ug_ERE;Folatos_ug;VitaminaB12_ug
640;grasas y frutos secos;1;Almendra, seca;623,1;21,94;50,62;19,94;10,4;3,89;32,29;12,05;;;480;3,72;687;28;3,12;0;0;30;0
641;grasas y frutos secos;;Avellana, sin cáscara;673,35;14,95;60,75;16,7;9,7;4,46;45,65;7,92;0;114;290;4,7;680;0;2,45;6,3;1;113;
642;grasas y frutos secos;2;Castaña, china, sin cáscara, cruda;223,07;4,2;1,11;49,07;;0,16;0,58;0,29;;;96;1,41;447;3;0,87;36;10;68;0
643;grasas y frutos secos;;Castaña, europea seca pelada;368,95;5,01;3,91;78,43;;0,74;1,35;1,55;;;137;2,39;991;37;0,35;15,1;0;110;
644;grasas y frutos secos;7;Chocolate, para untar, Nucita;566,67;3,33;33,33;63,33;3,33;13,33;13,33;5;0;;;;;50;;;;;
645;grasas y frutos secos;;Crema, de almendras y cacao, Choco-almond;250;0;10;40;;0;;;0;;;;;0;;;;;
646;grasas y frutos secos;7;Crema, de avellana, con cacao y leche, Delilu;544;4;32;60;0;12;16;4;20;;;;;60;;;;;
647;grasas y frutos secos;;Crema, de avellana, leche y chocolate, Nusco;563;3;35;59;2,2;5,7;;;;;;;;20;;;;;
648;grasas y frutos secos;7;Crema, de avellanas, con cacao, Nutella;544;8;32;56;;10;16;4;0;;;;;40;;;;;
649;grasas y frutos secos;;Crema, de avellanas, con cacao, Supermaxi;555,2;4,1;36;53,7;3;7,4;21,7;7,2;;;;;;60;;;;;
650;grasas y frutos secos;7;Crema, de cacao y avellana, sin azucar añadida, Natures Heart;540;6,67;33,33;53,33;3,33;6,67;23,33;3,33;;;;;;66,67;;;;;
651;grasas y frutos secos;;Crema, de chocolate, negro, Nusco;546,67;6,67;40;40;;6,67;;;13,33;;;;;100;;;;;
652;grasas y frutos secos;2;Macadamia, sin cáscara, cruda;768,85;7,91;75,77;13,82;8,6;12,06;58,88;1,5;0;85;188;3,69;368;5;1,3;1,2;0;11;0
653;grasas y frutos secos;;Maní, horneado, con sal, promedio;337,13;13,5;22,01;21,26;8,8;3,06;10,92;6,96;0;55;198;1,01;180;751;1,83;0;0;75;
654;grasas y frutos secos;2;Maní, regular, crudo;610,88;25,8;49,24;16,13;8,5;6,18;24,43;15,56;0;92;376;4,58;70,5;18;3,27;0;0;240;0
655;grasas y frutos secos;;Maní, tostado, con aceite y sal;645,66;28,03;52,5;15,26;9,4;8,67;25,94;15,27;0;61;397;1,52;726;320;3,28;1;0;120;
656;grasas y frutos secos;1;Maní, tostado, con sal;627,7;23,68;49,66;21,51;8;6,89;24,64;15,69;0;54;358;2,26;658;813;3,31;0;0;145;0
657;grasas y frutos secos;;Manteca de cerdo;894,6;0;99,4;0;0;39,2;45,1;11,2;95;0;0;0;0;0;0,11;0;0;0;
658;grasas y frutos secos;2;Mantequilla, baja en grasa, con sal;509,1;3,3;55,1;0;0;34,32;15,93;2,05;106;48;34;1,09;71;450;0,26;0;465;1;0,13
659;grasas y frutos secos;;Mantequilla, con sal;733,63;0,85;81,11;0,06;0;51,37;21,02;3,04;;;24;0,02;24;576;0,09;0;684;3;
660;grasas y frutos secos;7;Mantequilla, de almendras, natural, Del Sur;610;20;50;20;15;5;30;12,5;;;;;;0;;;;;
661;grasas y frutos secos;;Mantequilla, de maní y miel, para untar, Peter-Pan;623,53;20,59;47,06;29,41;5,88;8,82;;;;;;1,18;470,59;323,53;;;;;
662;grasas y frutos secos;2;Mantequilla, de maní, baja en grasa;552,2;25,9;34;35,65;5,2;5,76;16,16;9,18;;;369;1,9;669;540;2,08;0;0;60;0
663;grasas y frutos secos;;Mantequilla, de maní, cashew, Natures Heart;666,67;20;53,33;26,67;0;10;33,33;10;0;;;;;33,33;;;;;
664;grasas y frutos secos;2;Mantequilla, de maní, con sal;637,3;22,05;51,1;22,3;4,8;10,1;25,4;12,3;;;339;1,73;564;429;2,54;;;86;
665;grasas y frutos secos;;Mantequilla, de maní, Jif;637,5;21,88;50;25;6,25;7,81;;;;;;;;421,88;;;;;
666;grasas y frutos secos;7;Mantequilla, de maní, kokawa;640;26,67;53,33;13,33;0;13,33;20;20;;;;;;166,67;;;;;
667;grasas y frutos secos;;Mantequilla, de maní, Schullo;650;28,57;50;21,43;7,14;7,14;35,71;7,14;0;;;;;214,29;;;;;
668;grasas y frutos secos;1;Mantequilla, sin sal;733,63;0,85;81,11;0,06;0;51,37;21,02;3,04;215;24;24;0,02;24;11;0,09;0;684;3;0,17
669;grasas y frutos secos;;Margarina, 20% grasa, con sal;177,1;0;19,5;0,4;0;2,87;7,48;8,04;0;0;14;0;25;733;0;0;819;0;
670;grasas y frutos secos;7;Margarina, reducida en grasa, Miraflores;578,57;0;64,29;0;0;42,86;14,29;7,14;0;;;;;1142,86;;;;;
671;grasas y frutos secos;;Margarina, regular, 80% grasa, con sal;731,7;0,9;80,5;0,9;0;15,8;35,8;25,4;0;;23;0,06;42;943;0;0;819;1;
672;grasas y frutos secos;1;Mayonesa, regular, con sal;399,8;0,9;33,4;23,9;0;4,9;9;18;26;14;26;0,2;9;711;0,18;0;21;6;0,21
673;grasas y frutos secos;;Nuez, de nogal, seca;702,65;15,23;65,21;13,71;6,7;6,13;8,93;47,17;;;346;2,91;441;2;3,09;1;1;98;
674;grasas y frutos secos;2;Pistacho, tostado, sin sal;609,7;21,05;45,82;28,28;10,3;5,65;24,53;13,35;;;469;4,03;1007;6;2,34;3;13;51;0
675;grasas y frutos secos;;Semilla, de chía, seca;511,3;16,54;30,74;42,12;34,4;3,33;2,31;23,66;0;631;860;7,72;407;16;4,58;1,6;16,2;49;
676;grasas y frutos secos;2;Semilla, de linaza, seca;568,12;18,29;42,16;28,88;27,3;3,66;7,53;28,73;0;255;642;5,73;813;30;4,34;0,6;0;87;0
677;grasas y frutos secos;;Semillas, de ajonjolí, enteras, secas;611,75;17,73;49,67;23,45;11,8;6,96;18,76;21,77;0;975;629;14,55;468;11;7,75;0;0;97;
678;grasas y frutos secos;7;Semillas, de chía, blanca, Kunachia;540;20;33,33;40;26,67;3,33;;26,67;0;500;;6,67;500;0;;;;;
679;grasas y frutos secos;;Semillas, de girasol, con sal, secas;614,41;19,1;49,21;23,78;10,7;5,15;9,39;32,5;0;70;1141;3,76;840;462;5,23;1,4;0;234;
680;grasas y frutos secos;2;Semillas, de girasol, sin sal, secas;621,68;19,3;49,8;24,07;11,1;5,21;9,5;32,8;;70;1155;3,8;850;3;5,29;1,4;0;237;0
681;grasas y frutos secos;;Semillas, de hinojo;406,19;15,8;14,87;52,29;39,8;0,48;9,91;1,68;0;1196;487;18,54;1694;88;3,7;21;7;;
682;grasas y frutos secos;7;Semillas, de hinojo pelada, Camari;415,3;16;14,5;55,2;21,1;;;;0;;;;;20;;;;;
