id_alimento;Grupo;Fuente;Alimento;Energia_kcal;Proteina_g;Grasa_total_g;Carbohidratos_g;Fibra_g;AGS_g;AGM_g;AGPI_g;Colesterol_mg;Calcio_mg;Fosforo_mg;Hierro_mg;Potasio_mg;Sodio_mg;Zinc_mg;VitaminaC_mg;VitaminaA_ug_ERE;Folatos_ug;VitaminaB12_ug
156;Cereales, Tuberculos y platanos ;3;Oca, sin cáscara;65,2;0,7;0;15,6;2,4;;;;;;;0,47;;;0,14;23,92;0;;
157;Cereales, Tuberculos y platanos ;;Olluco, melloco, con cáscara;62,5;1,1;0,1;14,3;;;;;;;28;1,1;;;;11,5;5;;
158;Cereales, Tuberculos y platanos ;3;Papa, amarilla, tipo chaucha, sin cáscara;104,8;2;0,4;23,3;0,4;;;;;6;52;0,4;;;0,29;9;0;;
159;Cereales, Tuberculos y platanos ;;Papa, con cáscara, cocida;81,18;2,86;0,1;17,21;3,3;0,03;0;0,04;0;45;54;6,07;407;14;0,44;5;0;10;
160;Cereales, Tuberculos y platanos ;1;Papa, con cascara, cruda;78,77;2,02;0,09;17,47;2,2;0,03;0;0,04;0;;57;0,78;421;6;0,29;20;0;16;0
161;Cereales, Tuberculos y platanos ;;Papa, negra andina;75,6;1,8;0,4;16,2;2,6;;;;;19;40;0,52;295;6;0,22;3,15;0;;
162;Cereales, Tuberculos y platanos ;1;Papa, sin cáscara, cocida;87,78;1,71;0,1;20,01;1,8;0,03;0;0,04;0;;40;0,31;328;5;0,27;7;0;9;0
163;Cereales, Tuberculos y platanos ;;Papa, sin cáscara, cruda;60,94;2,57;0,1;12,44;2,5;0,03;0;0,04;0;30;38;3,24;413;10;0,35;11;0;17;
164;Cereales, Tuberculos y platanos ;5;Patacón, plátano verde, frito, con sal;262,72;;4,16;56,32;;;;;;2;15;0,36;489;182;0,02;;;;
165;Cereales, Tuberculos y platanos ;;Plátano, maduro, frito;214,55;;1,67;49,88;;;;;;;32;0,23;330;9;0,22;;;;
166;Cereales, Tuberculos y platanos ;5;Platáno maduro, frito, comercialmente preparado;482,31;1,63;20,59;72,62;;;;;;;30;0,51;473;2;0,28;;;;
167;Cereales, Tuberculos y platanos ;1;Plátano, maduro, tipo maqueño;136,09;1,3;0,37;31,89;2,3;0,14;0,03;0,07;0;3;34;0,6;499;4;0,14;18;56;22;0
168;Cereales, Tuberculos y platanos ;;Plátano, verde, crudo;146,9;1,2;0,1;35,3;0,5;;;;;8;40;0,8;;;;28;130;;
169;Cereales, Tuberculos y platanos ;1;Plátano, verde, frito, promedio;308,97;1,5;11,81;49,17;3,5;3,69;4,35;2,7;0;4;44;0,67;482;2;0,23;3,4;357,6;15;
170;Cereales, Tuberculos y platanos ;;Tortillas de verde, con queso mozzarella, Productos del Chef;237,33;2,67;2,67;50,67;0;1,33;0,67;0;45,33;;;;;;;;;;
171;Cereales, Tuberculos y platanos ;1;Yuca, mandioca, raíz;160,2;1,36;0,28;38,06;1,8;0,07;0,08;0,05;0;16;27;0,27;271;14;0,34;21;1;27;0
172;Cereales, Tuberculos y platanos ;;Yuquitas, fritas, con sal, comercialmente preparados;489,38;2,03;24,58;65,01;;;;;;36;94;0,79;1133;577;1,16;;;;
173;Cereales, Tuberculos y platanos ;2;Zanahoria, blanca, cocida, sin sal;76,02;1,32;0,3;17,01;3,6;0,05;0,11;0,05;0;37;69;0,58;367;10;0,26;13;0;58;0
174;frutas;;Aguacate, sin cáscara, promedio;174,06;2;14,66;8,53;6,7;2,13;9,8;1,82;;;52;0,55;485;7;0,64;10;7;81;
175;frutas;2;Aguacate, verde, sin cáscara, serrano;130,74;2,23;10,06;7,82;5,6;1,96;5,51;1,68;;;40;0,17;351;2;0,4;17,4;7;35;0
176;frutas;;Arándano, deshidratado, Natures Heart;320;0;0;80;1,67;0;;;;;;;;100;;;;;
177;frutas;2;Arándano, deshidratado, promedio;340;0;0;85;5;0;;;;;;0;;0;;0;0;;
178;frutas;;Arazá, fresco;36,7;1,1;1,1;5,6;0,9;;;;;;;0,8;222;28;0,4;;;;
179;frutas;4;Babaco, maduro, pulpa;31,4;0,9;0,2;6,5;0,5;;;;;;14;0,7;223;10;0,1;0;12;;0
180;frutas;;Badea, tumbo costeño, fresca;21,8;0,7;0,2;4,3;;;;;;;17;0,8;;;;15;7;;
181;frutas;3;Banano, guineo manzano, odatil, orito;115,8;1,1;0,2;27,4;;;;;;;24;0,6;370;1;0,17;13;14;;0
182;frutas;;Banano, guineo, plátano seda;98,69;1,09;0,33;22,84;2,6;0,11;0,03;0,07;;;22;0,26;358;1;0,15;9;3;20;
183;frutas;4;Borojó, fresco;133,4;3;0,6;29;;;;;;;;6,9;464;8;1,5;3;;;
184;frutas;;Capulí, capulin, capulina;100,7;2,1;2,3;17,9;;;;;;;94;1,2;;;;90;;;
185;frutas;1;Carambola, fruta estrellada, con cáscara, fresca;34,05;1,04;0,33;6,73;2,8;0,02;0,03;0,18;;;12;0,08;133;2;0,12;34;3;12;0
186;frutas;;Cereza dulce, fruta en almibar, envasada;96,9;0,73;0,1;23,27;1,1;0,02;0,03;0,03;;;10;1,3;93;7;0,06;2;36;8;
187;frutas;1;Cereza, fresca;55,42;1;0,3;12,18;1,6;0,07;0,08;0,09;;;15;0,32;173;3;0,1;10;64;8;0
188;frutas;;Cerezas, marrasquino, roja, en almibar, Dicomfrut;216;0;0;54;0;0;0;0;;;;;;10;;;;;
189;frutas;2;Chirimoya, fresca;82,98;1,65;0,62;17,7;2,3;;;;;;26;0,3;269;4;0,18;12;0;18;0
190;frutas;;Chonta, mezcla, pelada, sin semillas, hervida, sin sal;195,54;;4,58;38,58;;;;;;;20;0,34;201;11;0,24;;;;
191;frutas;5;Chonta, roja, pelada, sin semillas, hervida, sin sal;231,35;;4,87;46,88;;;;;;;24;0,65;252;2;0,29;;;;
192;frutas;;Ciruela, claudia, amarilla o roja, fresca;51;0,7;0,28;11,42;1,4;0,02;0,13;0,04;;;16;0,17;157;0;0,1;10;17;5;
193;frutas;1;Ciruela, roja, deshidratada;267,66;2,18;0,38;63,88;7,1;0,09;0,05;0,06;;;69;0,93;732;2;0,44;1;39;4;0
194;frutas;;Ciruela, sin semilla, deshidratada, Bonanza;270;2,5;0;65;5;0;;;;;;;;12,5;;;;;
195;frutas;7;Ciruela, sin semilla, deshidratada, El Sabor;179,07;0;11,63;18,6;0;2,33;;;;;;;;0;;;;;
196;frutas;;Ciruela, sin semilla, deshidratada, Supermaxi;213,33;3,33;0;50;6,67;0;;;;;;;;0;;;;;
197;frutas;1;Coco, agua;19,52;0,72;0,2;3,71;1,1;0,18;0,01;0;;;20;0,29;250;105;0,1;2;0;3;0
198;frutas;;Coco, chips de canela y sal rosada, Alme;560;4;48;28;12;44;;;;;;;;240;;;;;
199;frutas;1;Coco, maduro, pulpa;375,65;3,33;33,49;15,23;9;29,7;1,42;0,37;;;113;2,43;356;20;1,1;3;0;26;0
200;frutas;;Coco, pulpa, hojuelas dulces, deshidratadas;492,83;3,28;32,15;47,59;4,3;28,51;1,37;0,35;;;100;1,8;316;256;1,75;0;0;8;
201;frutas;2;Coctel de frutas, en almibar, promedio;93,75;0,39;0,07;22,89;1,1;0,01;0,01;0,03;;;11;0,28;86;6;0,08;1,9;10;3;0
202;frutas;;Coctel de frutas, en almibar, Gustadina;82,86;0,71;0;20;0,71;0;;;;;;;;14,29;;;;;
203;frutas;7;Coctel de frutas, en almibar, Snob;68;-1;0;18;0;0;;;;;;;;3;;;;;
204;frutas;;Coctel de frutas, en almibar, sólidos y líquidos, promedio;77,42;0,37;0,1;18,76;1;0,01;0,02;0,04;;;10;0,36;84;4;0,07;69;10;3;
205;frutas;1;Durazno, común, maduro, con cáscara, fruta criolla;58,2;0,8;0,2;13,3;1,5;0,02;0,07;0,09;;;26;1,1;190;0;0,17;28;16;4;0
206;frutas;;Durazno, mitados, en almibar, Dos caballos;77,14;0,71;0;18,57;;0;;;;;;;;7,14;;;;;
207;frutas;7;Durazno, mitados, en almibar, Snob;65,21;0,43;0,07;15,71;1,43;0,07;;;;;;;;10;;;;;
208;frutas;;Durazno, tipo guaytambo, prisco;42,1;0,6;0,1;9,7;;0,02;0,06;0,04;;;;0,3;202;1;0,14;10;35;;
209;frutas;1;Durazno, tipo melocotón, amarrillo, fruta criolla;51,3;0,9;0,1;11,7;1,5;0,02;0,07;0,09;;;;0,1;190;0;0,17;19;22;4;0
210;frutas;;Durazno, tipo Nectarina;49,32;1,06;0,32;10,55;1,7;0,03;0,09;0,11;;;26;0,28;201;0;0,17;5;17;5;
211;frutas;1;Duraznos, en almibar, promedio;82,46;0,45;0,1;19,94;1,3;0,01;0,04;0,05;;;11;0,27;92;6;0,09;3;17;3;0
212;frutas;;Fresas deshidratadas, Natures Heart;297,14;2,86;0;71,43;8,57;0;0;0;;;;;;0;;;;;
213;frutas;2;Fruta de pan, fresca;114,83;1,07;0,23;27,12;4,9;0,05;0,03;0,07;;;30;0,54;490;2;0,12;29;0;14;0
214;frutas;;Frutilla, madura, fresca;36,1;0,67;0,3;7,68;2;0,01;0,04;0,16;;;24;0,42;153;1;0,14;59;1;24;
215;frutas;7;Frutilla, trozos, deshidratada, liofilizada;348;7;0;80;20;0;;;;;;;;0;;;;;
216;frutas;5;Grosella, cruda con sal;32,48;;;8,12;;;;;;;13;0,15;151;835;0,18;;;;
217;frutas;;Grosella, cruda, sin sal;25,36;;;6,34;;;;;;;10;0,15;135;31;0,06;;;;
218;frutas;2;Grosella, fresca;36,76;0,8;0,4;7,49;;;;;;;11;0,2;103;3;;26,3;75;;0
219;frutas;;Guaba, cushin, paterna, pulpa;66,9;1;0,1;15,5;;;;;;;20;0,9;;;;9;;;
220;frutas;1;Guanabana, guanaba;74,06;1;0,3;16,84;3,3;0,05;0,09;0,07;;;27;0,6;278;14;0,1;21;0;14;0
221;frutas;;Guanabana, pulpa líquida, con azucar, Esto si es guanabana;140;0;0;35;0;;;;;;;;;33,33;;;;;
222;frutas;7;Guayaba, en almibar, Pacha;108;0;0;27;3;0;;;;;;;;30;;;;;
223;frutas;;Guayaba, madura, fresca;56,2;0,8;0,6;11,9;;0,17;0,05;0,18;;;;0,3;284;3;0,23;183;32;;
224;frutas;1;Higo, seco deshidratado;277,05;3,3;0,93;63,87;9,8;0,14;0,16;0,34;;;67;2,03;680;10;0,55;1;0;9;0
225;frutas;;Higos en almibar, sólidos y líquidos, en lata;94,02;0,38;0,1;22,9;2,2;0,02;0,02;0,05;;;10;0,28;99;1;0,11;1;2;2;
226;frutas;7;Higos, en almibar, Qawi;232;0;0;58;0;;;;;;;;;55;;;;;
227;frutas;;Higos, fruta madura;82,42;0,75;0,3;19,18;2,9;0,06;0,07;0,14;;;14;0,37;232;1;0,15;2;7;6;
228;frutas;1;Kiwi, sin cáscara, fresco;67,88;1,14;0,52;14,66;3;0,03;0,05;0,29;;;34;0,31;312;3;0,14;93;4;25;0
229;frutas;;Lima, fresca;46,76;0,7;0,2;10,54;2,8;0,02;0,02;0,06;;;18;0,6;102;2;0,11;29,1;2;8;
230;frutas;2;Limón, sin cáscara, fresco;44,38;1,1;0,3;9,32;2,8;0,04;0,01;0,09;;;16;0,6;138;2;0,06;53;1;11;0
231;frutas;;Limón, zumo;31,16;0,35;0,24;6,9;0,3;0,04;0,01;0,02;;;8;0,08;103;1;0,05;38,7;0;20;
232;frutas;1;Mamey;56,5;0,5;0,5;12,5;3;0,14;0,2;0,08;;;11;0,7;47;15;0,1;14;12;14;0
233;frutas;;Mandarina, tangerina, fresca;59,39;0,81;0,31;13,34;1,8;0,04;0,06;0,06;;;20;0,15;166;2;0,07;27;34;16;
234;frutas;1;Mango, criollo;39,2;0,8;0;9;;;;;;;;1,3;189;7;;80;240;;
235;frutas;;Mango, deshidratado, promedio;293,04;3,33;0;69,93;3,33;0;;;;;;;;16,65;;;;;
236;frutas;1;Mango, grande, maduro;65,4;0,5;0,2;15,4;1,8;0,07;0,1;0,05;;;12;0,8;156;2;0,04;53;38;14;0
237;frutas;;Mango, verde;49,4;0,4;0,2;11,5;;;;;;;10;0,4;;;;128;;;
238;frutas;1;Manzana, con casacara, importada;57,81;0,26;0,17;13,81;2,4;0,03;0,01;0,05;;;11;0,12;107;1;0,04;5;3;3;0
239;frutas;;Manzana, con cáscara, rosa, pomarosa;27,9;0,6;0,3;5,7;;;;;;;8;0,07;123;0;0,06;22;17;;
240;frutas;1;Manzana, deshidratada;384,62;1,32;0,58;93,53;12,4;0,09;0,02;0,17;;;55;2;640;124;0,29;2;4;1;0
241;frutas;;Manzana, sin cáscara, criolla, “Emilia”;60,5;0,3;0,1;14,6;1,3;0,02;0;0,04;;;8;0,7;90;0;0,05;8;2;0;
242;frutas;1;Maracuyá, granadilla morada, pulpa;108,62;2,2;0,7;23,38;10,4;0,06;0,09;0,41;;;68;1,6;348;28;0,1;30;64;14;0
243;frutas;;Melón, amarillo, valenciano;39,78;0,54;0,14;9,09;0,8;0,04;0;0,06;;;11;0,17;228;18;0,09;18;3;19;
244;frutas;1;Melón, corrugado, contaloupe;37,71;0,84;0,19;8,16;0,9;0,05;0;0,08;;;15;0,21;267;16;0,18;37;169;21;0
245;frutas;;Membrillo, fresco;63,7;0,4;0,1;15,3;1,9;0,01;0,04;0,05;;;17;0,7;197;4;0,04;15;2;3;
246;frutas;7;Mix de frutas, cerezas y arándanos, deshidratadas, Kruker;477;2;21;70;;9;9;2,5;;;;;;5;;;;;
247;frutas;;Mix de frutas, piña y maracuya, deshidratadas, Kruker;477;2;21;70;;9;9;2,5;;;;;;5;;;;;
248;frutas;7;Mix frutas, arándanos rojos, maní y pasas, deshidratadas, Corfruit;430;10;16,67;60;3,33;3,33;10;0;;;;;;50;;;;;
249;frutas;;Mora, zarzamora, fresca;48,41;1,39;0,49;9,61;5,3;0,01;0,05;0,28;;;22;0,62;162;1;0,53;21;11;25;
250;frutas;2;Mortiño, fresco, crudo;63,49;0,64;0,33;14,49;2,4;0,03;0,05;0,15;;;12;0,28;77;1;0,16;9,7;3;6;0
251;frutas;;Naranja, agria, común;55,7;0,7;0,1;13;;;;;;;17;0,6;200;1;0,05;42;10;;
252;frutas;1;Naranja, agria, zumo, jugo natural;44,6;0,7;0,2;10;;;;;;;15;0,3;;;;42;;;
253;frutas;;Naranja, dulce, común;51,84;0,94;0,12;11,75;2,4;0,01;0,02;0,03;;;14;0,1;181;0;0,07;53;11;30;
254;frutas;5;Naranjilla común, pelada, cruda;35,48;;;8,87;;;;;;;23;0,24;448;14;0,22;;;;
255;frutas;;Naranjilla, lulo, pulpa, congelada;30,9;0,7;0,1;6,8;;;;;;;14;0,4;294;4;;65;;;
256;frutas;2;Níspero, con cáscara, fresco;52,08;0,43;0,2;12,14;1,7;0,04;0,01;0,09;;;27;0,28;266;1;0,05;1;76;14;0
257;frutas;;Papaya, lechosa, madura, pulpa;42,94;0,61;0,14;9,81;1,8;0,04;0,04;0,03;;;5;0,1;257;3;0,07;62;55;38;
258;frutas;2;Pasas rubias, promedio;335;3,28;0,2;80,02;3,3;0,07;0,01;0,06;;;101;0,98;746;24;0,37;3,2;0;3;0
259;frutas;;Pasas, sin semilla, Del Sur;260;2,5;0;62,5;0;;;;;;;;;;;;;;
260;frutas;2;Pasas, sin semilla, promedio;320;2,5;0;77,5;5;0;;;;;;2,7;775;25;;0;0;;
261;frutas;;Pepino dulce, pera limón, con cáscara;35,8;0,4;1;6,3;;;;;;;14;0,8;;;;32;28;;
262;frutas;1;Pera, importada, sin cáscara;64,44;0,38;0,12;15,46;3,1;0,01;0,03;0,03;;;11;0,17;119;1;0,1;4;1;7;0
263;frutas;;Piña, deshidratada;370;0;0;92,5;2,5;0,09;0,02;0,17;;;55;2;640;124;0,29;2;4;1;
264;frutas;1;Piña, dulce, fresca;57,11;0,53;0,11;13,5;1,4;;;;;;8;0,28;108;1;0,12;56;3;19;
265;frutas;;Piña, en rodajas, en almibar, Facundo;66,68;0;0;16,67;1,67;0;;;;;;;;0;;;;;
266;frutas;1;Piña, fruta en almibar, envasada sol&liq;83,19;0,35;0,11;20,2;0,8;0,01;0,01;0,04;;;7;0,38;104;1;0,12;7;1;5;0
267;frutas;;Pitahaya, amarilla, pulpa;56,9;0,4;0,1;13,6;3,3;;;;;;26;0,3;155;4;0,1;20;2;20;
268;frutas;1;Pitahaya, roja, pulpa;62;1,4;0,4;13,2;;;;;;;26;1,3;;;;8;0;;
269;frutas;;Plátano rojo, guineo morado;118,2;1,4;0,2;27,7;;;;;;;20;0,5;370;1;0,16;10;42;;
270;frutas;1;Sandía, fresca;33,99;0,61;0,15;7,55;0,4;0,02;0,04;0,05;;;11;0,24;112;1;0,1;8;28;3;0
271;frutas;;Tamarindo, pasta, sin azúcar añadida, Soleg;106,67;0;0;26,67;;0;;;;;;;;0;;;;;
272;frutas;2;Tamarindo, pulpa, fresca;266,6;2,8;0,6;62,5;5,1;0,27;0,18;0,06;;;113;2,8;628;28;0,1;3,5;2;14;0
273;frutas;;Taxo, curuba, pulpa;24,72;3,09;0;3,09;0;0;;;;;;0,56;;1;;39,6;417,6;;
274;frutas;1;Tomate de árbol, fresco;58,1;2,2;0,9;10,3;;;;;;;48;0,8;;;;29;300;;
275;frutas;;Tomate de árbol, pulpa líquida, con azucar, Esto si es tomate;33,33;1,67;0;6,67;0;;;;;;;;;58,33;;;;;
276;frutas;1;Toronja, rosada, fresca;46,98;0,77;0,14;10,66;1,6;0,02;0,02;0,04;;;18;0,08;135;0;0,07;31;58;13;0
277;frutas;;Tuna, nopal;74,4;1,1;0,4;16,6;3,6;0,07;0,08;0,21;;;32;1,2;220;5;0,12;18;2;6;
278;frutas;1;Uva, importada, con cáscara, roja, tipo americana;74,27;0,63;0,35;17,15;0,9;0,11;5,01;0,1;;;10;0,29;191;2;0,04;4;5;4;0
279;frutas;;Uva, importada, con cáscara, verde;73,3;0,4;0,1;17,7;0,9;;;;;;28;0,5;;;0,07;2,8;3;;
280;frutas;7;Uvilla, confitada, orgánica, Natures Heart;331,43;2,86;0;80;8,57;0;;;;;;;;0;;;;;
281;frutas;;Uvilla, deshidratada, Inca ́s Treasure;271,43;7,14;0;60,71;21,43;0;;;;;;;1778,57;0;;;;;
282;frutas;7;Uvilla, deshidratada, promedio;271,4;7,14;0;60,71;21,43;;;;;;;;1778,57;0;;;;;
283;frutas;;Uvilla, fresca;308,39;6,67;1,67;66,67;16,7;0;;;;;;3,33;1830;0;;;;;
284;frutas;2;Zapote, mamey, sin cáscara, fresco;138,34;1,45;0,46;32,1;5,4;0,17;0,1;0,1;;;26;0,78;454;7;0,19;23;7;7;0
285;vegetales;;Acelga, cocida, sin sal;24,76;1,88;0,08;4,13;2,1;0,01;0,02;0,03;;;58;33;2,26;549;179;0,33;18;306;9
286;vegetales;1;Acelga, cruda;33,5;2,9;0,3;4,8;;;;;;;62;;3,9;550;147;0,02;6;330;
287;vegetales;;Achogcha, hojas y corazon, escurridas, cocida, sin sal;22,26;0,84;0,18;4,32;2;0,01;0,03;0,08;;;9;36;38;319;6;0,77;33;6;51
288;vegetales;5;Achojcha, lisa, hervidas, escurrido, sin sal;17,2;;;4,3;;;;;;;17;17;0,18;170;3;0,08;;;
289;vegetales;;Ají amarillo fresco;45,1;0,9;0,7;8,8;;;;;;;31;21;0,9;;;;60;445;
290;vegetales;2;Ají, rojo, rocoto, crudo;46,68;1,87;0,44;8,81;1,5;0,04;0,02;0,24;;;14;43;1,03;322;9;0,26;143,7;48;23
291;vegetales;;Ajo, fresco, crudo;162,18;6,36;0,5;33,06;2,1;0,09;0,01;0,25;;;181;153;1,7;401;17;1,16;31,2;0;3
292;vegetales;2;Albahaca, fresca, cruda;28,96;3,15;0,64;2,65;1,6;0,04;0,09;0,39;;;177;56;3,17;295;4;0,81;18;264;68
293;vegetales;;Alcachofa, hojas y corazón, cocida, sin sal;62,42;2,89;0,34;11,95;5,7;0,08;0,01;0,15;;;;73;0,61;286;60;0,4;7,4;1;89
294;vegetales;1;Alcachofa, hojas y corazon, cruda;56,47;3,27;0,15;10,51;5,4;0,04;0;0,06;;;44;90;1,28;370;94;0,49;12;9;68
295;vegetales;;Alfalfa, brotes de alfalfa;37,29;3,99;0,69;3,78;2,5;0,07;0,06;0,41;;;32;70;0,96;79;6;0,92;8;8;36
296;vegetales;1;Apio, tallos, crudo;16,17;0,69;0,17;2,97;1,6;0,04;0,03;0,08;;;40;24;0,2;260;80;0,13;3;22;36
297;vegetales;;Arveja, congelada, cocida, sin sal;80,07;5,15;0,27;14,26;4,5;0,05;0,02;0,13;;;24;77;1,52;110;72;0,67;9,9;105;59
298;vegetales;1;Arveja, enlatada;71,15;4,42;0,35;12,58;4,1;0,06;0,03;0,16;;;;67;0,95;173;252;0,71;10;27;44
299;vegetales;;Arveja, escurrida, cocida, sin sal;85,98;5,36;0,22;15,64;5,5;0,04;0,02;0,1;;;;117;1,54;271;3;1,19;14;40;63
300;vegetales;1;Arveja, grano tierno, cruda;83,12;5,42;0,4;14,46;5,1;0,07;0,04;0,19;;;25;108;1,47;244;5;1,24;40;38;65
301;vegetales;;Berenjena, cocida, sin sal;40,31;0,83;0,23;8,73;2,5;0,04;0,02;0,09;;;;15;0,25;123;1;0,12;1;2;14
302;vegetales;1;Berenjena, cruda;28,55;1,01;0,19;5,7;3,4;0,03;0,02;0,08;;;9;25;0,24;230;2;0,16;2;1;22
303;vegetales;;Berro, fresco, crudo;28;2,8;0,4;3,3;1,51;0,02;0,24;0,23;;;117;76;1,9;606;14;0,23;44;161;80
304;vegetales;1;Brócoli, cocido, sin sal;41,93;2,38;0,41;7,18;3,3;0,08;0,04;0,17;;;;67;0,67;293;41;0,45;65;77;108
305;vegetales;;Brócoli, crudo;41,17;2,82;0,37;6,64;2,6;0,04;0,01;0,04;;;47;66;0,73;316;33;0,41;89;31;63
306;vegetales;2;Cebolla, blanca, larga, cruda;38,39;1,83;0,19;7,34;2,6;0,03;0,03;0,07;;;;37;1,48;276;16;0,39;18,8;50;64
307;vegetales;;Cebolla, blanca, perla;42,66;1,1;0,1;9,34;1,7;0,04;0,01;0,02;;;23;29;0,21;146;4;0,17;7,4;0;19
308;vegetales;2;Cebolla, puerro;65,3;1,5;0,3;14,15;1,8;0,04;0;0,17;;;;35;2,1;180;20;0,12;12;83;64
309;vegetales;;Cebolla, roja, paiteña, cruda;27,7;0,8;0,1;5,9;1,4;;;;;;20;17;1;;;0,16;3,7;0;
310;vegetales;2;Cebollin, fresco, crudo;37,05;3,27;0,73;4,35;2,5;0,15;0,1;0,27;;;92;58;1,6;296;3;0,56;58,1;218;105
311;vegetales;;Champiñones, enlatados, escurridos;30,45;1,87;0,29;5,09;2,4;0,04;0,01;0,11;;;11;66;0,79;129;425;0,72;0;0;12
312;vegetales;2;Champiñones, portobello, crudos;27,07;2,11;0,35;3,87;1,3;0,01;0,04;0,3;;;3;108;0,31;364;9;0,53;0;0;28
313;vegetales;;Choclo, maíz, amarillo, dulce, enlatado;73,94;1,95;0,5;15,41;1,7;0,08;0,14;0,23;;;4;51;0,41;164;213;0,36;6;3;38
314;vegetales;1;Choclo,elote, mazorca, amarillo, cocido;125,24;3,32;1,28;25,11;2,8;0,2;0,37;0,6;;;2;103;0,61;249;17;0,48;6;13;46
315;vegetales;;Choclo,elote, mazorca, amarillo, fresco, crudo;99,58;3,22;1,18;19,02;2,7;0,18;0,35;0,56;;;2;89;0,52;270;15;0,45;7;10;46
316;vegetales;1;Choclo,elote, mazorca, blanco, fresco, crudo;113,9;3,1;0,7;23,8;;0,18;0,34;0,54;;;;270;0,5;270;15;0,45;8;0;
317;vegetales;;Col, de bruselas, cocida, sin sal;43,1;2,55;0,5;7,1;2,6;0,1;0,04;0,26;;;36;56;1,2;317;21;0,33;62;39;60
318;vegetales;2;Col, de bruselas, cruda;52,02;3,38;0,3;8,95;3,8;0,06;0,02;0,15;;;42;69;1,4;389;25;0,42;85;38;61
319;vegetales;;Col, morada, cocida, sin sal;34,61;1,51;0,09;6,94;2,6;0,01;0,01;0,04;;;;33;0,66;262;28;0,25;34,4;2;24
320;vegetales;2;Col, morada, cruda;36,64;1,43;0,16;7,37;2,1;0,02;0,01;0,08;;;45;30;0,8;243;27;0,22;57;56;18
321;vegetales;;Col, repollo, blanco, común, cocida, sin sal;25,79;1,02;0,43;4,46;1,9;0,05;0,03;0,2;;;;15;0,17;97;8;0,09;20;7;20
322;vegetales;1;Col, repollo, blanco, común, cruda;27,94;1,21;0,18;5,37;2,3;0,02;0,01;0,09;;;;23;0,56;246;18;0,18;51;6;57
323;vegetales;;Coliflor, cruda;30,02;1,98;0,1;5,3;2,5;0,03;0,01;0,1;;;22;44;0,44;303;30;0,28;46;1;57
324;vegetales;1;Coliflor, escurrida, cocida, sin sal;27,85;1,84;0,45;4,11;2,7;0,07;0,03;0,22;;;;32;0,33;142;15;0,18;44;1;44
325;vegetales;;Culantro, cilantro, fresco, crudo;12,4;2,02;0,48;;2,81;;;;;;67;54;1,68;510;54;0,05;35,3;6130;
326;vegetales;1;Espárrago, crudo;25,4;2,2;0,12;3,88;2,1;0,05;0,01;0,09;;;24;52;2,14;202;2;0,54;6;38;52
327;vegetales;;Espárragos, enlatados;18,74;1,8;0,18;2,48;1;0,04;0,01;0,09;;;15;38;0,6;172;284;0,47;16,5;157,8;85
328;vegetales;2;Espárragos, escurridos, cocidos;28,02;2,4;0,22;4,11;2;0,05;0;0,11;;;23;54;0,91;224;14;0,6;7,7;50;149
329;vegetales;;Espinaca, cruda;29,47;2,86;0,39;3,63;2,2;0,06;0,01;0,17;;;;49;2,71;558;79;0,53;28;469;194
330;vegetales;1;Espinaca, escurrida, cocida, sin sal;29,22;2,97;0,26;3,75;2,4;0,04;0,01;0,11;;;136;56;3,57;466;70;0,76;10;524;146
331;vegetales;;Fréjol, canario, tierno, fresco;162,6;9,7;0,6;29,6;14;;;;;;60;287;2,18;;3;;5,22;0;
332;vegetales;1;Fréjol, frijol, grano verde, tierno, toda variedad;153,1;9,8;0,3;27,8;;;;;;;59;213;3,6;;;;7;12;
333;vegetales;;Haba, grano verde, tierna;74,6;5,6;0,6;11,7;4,2;0,14;0,02;0,31;;;22;95;1,9;250;50;0,58;33;18;96
334;vegetales;1;Hongos, champiñones, cocidos, sin sal;34,07;2,17;0,47;5,29;2,2;0,06;0,01;0,18;;;6;87;1,74;356;2;0,87;4;0;18
335;vegetales;;Hongos, champiñones, crudos;28,54;3,09;0,34;3,28;1;0,05;0;0,16;;;3;86;0,5;318;5;0,52;2;0;16
336;vegetales;2;Jícama, fresco, cruda;38,97;0,72;0,09;8,82;4,9;0,02;0,01;0,04;;;12;18;0,6;150;4;0,16;20,2;1;12
337;vegetales;;Lechuga, arrepollada, cruda;16,74;0,9;0,14;2,97;1,2;0,02;0,01;0,07;;;18;20;0,41;141;10;0,15;3;25;29
338;vegetales;1;Lechuga, romana, crespa, fresca, cruda;20,74;1,23;0,3;3,28;2,1;0,04;0,01;0,16;;;;30;0,97;247;8;0,23;24;290;136
339;vegetales;;Nabo, raíz, cocido, sin sal, escurrido;23,8;0,71;0,08;5,06;2;0,01;0;0,04;;;;26;0,18;177;16;0,12;12;0;9
340;vegetales;1;Nabo, raíz, crudo;30,22;0,9;0,1;6,43;1,8;0,01;0,01;0,05;;;;27;0,3;191;67;0,27;21;0;15
341;vegetales;;Orégano, fresco;56,1;1,6;0,5;11,3;;;;;;;312;46;9,3;;;;10;1750;
342;vegetales;3;Paico, fresco;66,7;5;1,1;9,2;3,8;;;;;;;65;6,3;;;1,1;34,7;3;
343;vegetales;;Palmito, crudo;115,04;2,7;0,2;25,61;1,5;0,05;0,01;0,09;;;18;140;1,69;1806;14;3,73;8;3;24
